trial,case,fold_win_rate,c1_fold_wins,c2_mdd_le_btc,btc_mdd,p_vs_stronger,holm_p,sharpe,max_drawdown,cagr,total_return,ann_vol,turnover_annual,avg_gross_exposure,btc_beta,n_trades,cost_paid,delistings,drawdown_halts,daily_loss_halts,sharpe_btc_uptrend_days,sharpe_btc_downtrend_days
H1[walk-forward],stress,0.2,False,True,0.7667059828725811,,,-0.3302900449930003,0.5736499003751376,-0.1306836270342422,-0.5037246998797531,0.29326955497009394,3.397196119889222,0.22663755024366167,0.23304427288657414,261,0.41579919274444965,0,13,19,0.11222707845683713,-1.1019092065098524
H1[walk-forward],delay,0.25,False,True,0.7667059828725811,,,-0.29911131953297876,0.63953610374642,-0.1336299024139399,-0.5120822738346573,0.3136460133198713,3.3161306206570256,0.22560897543627714,0.2635414306862258,259,0.22377025585008747,0,13,22,0.1599255746783982,-0.95663668437684
H2[L=20],base,0.25,False,True,0.766705982872582,0.886011398860114,1.0,-0.09642005985919339,0.5660600957183493,-0.13262508972459608,-0.50924471916318,0.4376885017015822,8.58436837762832,0.283962664950829,0.3033920581727363,595,0.4072978887259193,0,18,38,-0.02265392718526643,-0.17733457963150157
H2[L=20],stress,0.15,False,True,0.7667059828725811,,,-0.35157190314666986,0.7019594733408085,-0.21492229083555947,-0.7019594733408085,0.42157438245393064,8.034983251603578,0.2727538532709466,0.26165985204093156,550,0.6372160516090755,0,19,35,-0.3111444850801623,-0.3939199531953455
H2[L=20],delay,0.2,False,True,0.7667059828725811,,,-0.21750786509377892,0.6674355382381958,-0.1746635976531764,-0.6172399571231366,0.43378555658122764,8.753113666775139,0.30836386079920286,0.3116036691805975,620,0.3795116362684166,0,18,45,0.06905302433756728,-0.5480273176054439
H2[L=50],base,0.2,False,True,0.766705982872582,0.9148085191480851,1.0,-0.2263631329606708,0.6626969179003113,-0.14284449585902392,-0.5374968520759834,0.373365073830403,7.330538382056192,0.318145524280661,0.29712286158669576,511,0.30923320141401794,0,19,37,0.050950729682028566,-0.6564347567848868
H2[L=50],stress,0.15,False,True,0.7667059828725811,,,-0.3991340669150172,0.6845614457775543,-0.19667055182028315,-0.6656449614730389,0.37367603417446504,7.227097016221831,0.31284285219904834,0.2936923736609198,508,0.5470473410845522,0,19,35,-0.11339824702429599,-0.8457203868851908
H2[L=50],delay,0.2,False,True,0.7667059828725811,,,-0.37111341631610234,0.7371575214087593,-0.19850968283058013,-0.669456891028074,0.39010105097877823,7.66969910212053,0.34202458227111276,0.33256165184266867,570,0.2739392671816082,0,19,47,0.011102409512978879,-0.9961324138647243
H2[walk-forward],base,0.3,False,True,0.766705982872582,0.9468053194680532,1.0,-0.33940924700757447,0.7241599101139765,-0.20846852635926405,-0.6894991649075515,0.4179659442924128,7.337437012418726,0.2525093288573762,0.26027460265773766,502,0.29230124668118207,0,19,35,-0.4867399491562863,-0.19279949720309483
H2[walk-forward],stress,0.2,False,True,0.7667059828725811,,,-0.2975031482958226,0.6691761550536528,-0.19837365968302056,-0.6691761550536528,0.42444524372329084,7.448376014302587,0.27668667543181813,0.26894590675746466,506,0.6184552882457752,0,19,33,-0.19254938448372294,-0.40800848889511593
H2[walk-forward],delay,0.25,False,True,0.7667059828725811,,,-0.28107646765025,0.6708402148194046,-0.19918128863219053,-0.6708402148194046,0.43758151156729524,8.054676866378138,0.31488211155338797,0.3218835459630196,588,0.35179712418573733,0,19,46,-0.0046166792328738914,-0.6074263141297808
H3[cadence=weekly],base,0.25,False,True,0.766705982872582,0.9325067493250675,1.0,-0.33494674145895376,0.6904068950321669,-0.18428151460734687,-0.6390399272038929,0.3852228953918306,6.7832808424586295,0.24823607483412022,0.21836807224903584,497,0.2951742030248739,0,19,41,-0.14804522165782671,-0.551640788338571
H3[cadence=weekly],stress,0.2,False,False,0.7667059828725811,,,-0.5568604453480195,0.7925971726460274,-0.2518365163502153,-0.7657728027664217,0.3861073980832216,6.787854038256448,0.2401682389459186,0.2104265000621835,493,0.49527184936586177,0,19,42,-0.34250258365562924,-0.8032569521112268
H3[cadence=weekly],delay,0.25,False,False,0.7667059828725811,,,-0.6495151800536563,0.8248898371026682,-0.28485597614950253,-0.813117494913329,0.394391019778185,6.923307387057994,0.2467109893695397,0.25128120607395354,504,0.1951112181833827,0,19,43,-0.12169631456904896,-1.262409257892557
H3[cadence=biweekly],base,0.35,False,True,0.766705982872582,0.8939106089391061,1.0,-0.15279639705123974,0.6254524591337574,-0.13180693399048793,-0.5069245381131844,0.40020562906225166,5.802038318323461,0.29587969683587273,0.2565370382976006,398,0.3289739563002926,0,19,45,0.044243688380897914,-0.39409143529649043
H3[cadence=biweekly],stress,0.25,False,False,0.7667059828725811,,,-0.7085053833539802,0.8412207477419209,-0.28311753773184745,-0.8108337097630268,0.37160476468091624,5.636452671805348,0.25487826481612513,0.22987082926348182,375,0.44876897802090704,0,20,43,-0.7763307628748113,-0.6284640481415346
H3[cadence=biweekly],delay,0.3,False,True,0.7667059828725811,,,-0.2779285701687351,0.6441442703652394,-0.17934104043048793,-0.6279696200405014,0.40880642609998774,5.863170980901692,0.3036451590989179,0.2979803391858089,407,0.2764845570666444,0,19,48,-0.044147960081779264,-0.5684469226238597
H3[walk-forward],base,0.2,False,True,0.766705982872582,0.968003199680032,1.0,-0.47934657151674387,0.7462615758277757,-0.22879328797797804,-0.727388054346662,0.38574346396766257,6.359712287631422,0.27005524781576234,0.2291385813300378,447,0.25089487347972467,0,19,43,-0.4502090371870891,-0.5132200450310195
H3[walk-forward],stress,0.2,False,False,0.7667059828725811,,,-0.9709140520512407,0.8845096973562931,-0.34609120816048566,-0.8805790696643487,0.3671516614584201,6.200474235961615,0.23648245329637077,0.20197391703017772,421,0.37225171512215927,0,20,43,-1.2179983155306313,-0.7144518040043306
H3[walk-forward],delay,0.2,False,False,0.7667059828725811,,,-0.5850364456982573,0.79205723033076,-0.2688082124254151,-0.7911742702368941,0.3981011050628003,6.439099205599688,0.27558618075515723,0.2657607657670532,444,0.21205749438046334,0,19,45,-0.4675759364918577,-0.7270769025920059
BTC_buy_hold,base,,,,,,,0.4723638524616602,0.766705982872582,0.11612066915458708,0.732552763085921,0.5295759829618872,0.0990757523661254,0.9994523548740416,0.9985538214437076,1,0.007936507936507936,0,0,0,0.8009157828428959,0.15078248297351393
EW_monthly,base,,,,,,,-0.18644192325529635,0.9448133127729775,-0.3506698323003091,-0.8847040346870754,0.757544999904017,3.2248677108794226,0.9796949118813622,1.187195013285559,1659,0.13678728952843638,3,0,0,-0.15789078574775645,-0.2181450801783805
BTC_buy_hold,stress,,,,,,,0.46937932319945297,0.7667059828725811,0.11435840140368136,0.7189106153450966,0.529587450672817,0.09907575236612541,0.9994523548740416,0.9985091861118764,1,0.015748031496062992,0,0,0,0.8009157828428911,0.1448558049088243
EW_monthly,stress,,,,,,,-0.2544999144043402,0.9568350988109923,-0.38454757939424555,-0.9118149691281177,0.7594003929462714,3.230569517506858,0.9822769042896508,1.1896099227745638,1663,0.24920048401222172,3,0,0,-0.2322802589016524,-0.2790534963603375
BTC_buy_hold,delay,,,,,,,0.4690576618064463,0.7667059828725811,0.11417304846309628,0.7174807629129403,0.5295108977118366,0.09741751047524297,0.9989047097480832,0.998402880513454,1,0.007936507936507936,0,0,0,0.8009157828428944,0.14411913266495505
EW_monthly,delay,,,,,,,-0.19201177220288143,0.9446017084253883,-0.3553913413210972,-0.8888375274842276,0.7606257343978096,3.2343453241054383,0.9821251125380397,1.192117297794557,1614,0.1331500242876091,3,0,0,-0.17266169052754196,-0.213348116644172
