time,"H1[L=50,portfolio=btc]|base","H1[L=50,portfolio=btc]|stress","H1[L=50,portfolio=btc]|delay","H1[L=50,portfolio=top5]|base","H1[L=50,portfolio=top5]|stress","H1[L=50,portfolio=top5]|delay","H1[L=100,portfolio=btc]|base","H1[L=100,portfolio=btc]|stress","H1[L=100,portfolio=btc]|delay","H1[L=100,portfolio=top5]|base","H1[L=100,portfolio=top5]|stress","H1[L=100,portfolio=top5]|delay",H1[walk-forward]|base,H1[walk-forward]|stress,H1[walk-forward]|delay,H2[L=20]|base,H2[L=20]|stress,H2[L=20]|delay,H2[L=50]|base,H2[L=50]|stress,H2[L=50]|delay,H2[walk-forward]|base,H2[walk-forward]|stress,H2[walk-forward]|delay,H3[cadence=weekly]|base,H3[cadence=weekly]|stress,H3[cadence=weekly]|delay,H3[cadence=biweekly]|base,H3[cadence=biweekly]|stress,H3[cadence=biweekly]|delay,H3[walk-forward]|base,H3[walk-forward]|stress,H3[walk-forward]|delay,BTC_buy_hold|base,EW_monthly|base,BTC_buy_hold|stress,EW_monthly|stress,BTC_buy_hold|delay,EW_monthly|delay
2023-12-03 00:00:00+00:00,0.0024278939735349336,0.002542342326361302,0.002573557374075053,5.009690707757919e-05,0.0,-0.00047313625366562917,0.00287543896573883,0.002879367604510241,0.002663671373494214,-0.0008588576599121156,-0.0008526597728529817,-0.0011038450195186567,0.0024278939735349336,0.00254234232636108,0.002573557374075275,0.0,-0.002393684940950158,-0.002647302011198449,-0.0003536172013046679,-0.00032287732593827556,-0.0008652594111391299,0.0,-0.002393684940950158,-0.002647302011198449,-0.009068815462675461,-0.00909470785519173,-0.00949876539225003,0.0,0.0,-0.009693107642462895,0.0,0.0,-0.009693107642463117,0.012813410691013827,-0.002240219564547452,0.012813410691013827,-0.0021974999957878882,0.012813410691013827,-0.0021615287025282814
2023-12-04 00:00:00+00:00,0.009587460276986759,0.010038256930021028,0.010161190936715636,0.009674185277667391,0.0,0.009432167912511114,0.008641299597686558,0.008263300945785756,0.010516043333155034,0.009093982731418704,0.009168624081862253,0.008695477192470547,0.009587460276986759,0.010038256930021028,0.010161190936715414,0.0,0.021894585872210603,0.0214523081554443,0.019106095667662748,0.016601160422796024,0.00908966841908354,0.0,0.021894585872210603,0.0214523081554443,-0.012333059138707858,-0.014777892194394626,0.0014603497430527579,0.0,0.0,0.007180509863933704,0.0,0.0,0.007180509863933482,0.050079767791818997,0.012172329273562932,0.050079767791818997,0.012266715374449788,0.050079767791818997,0.012134988337785702
2023-12-05 00:00:00+00:00,0.009945618160669634,0.010408607576656514,0.010534794887382626,0.009381419861474782,0.0,0.009055470730187754,0.009359878613362849,0.009363387638728016,0.008683648016311496,0.008955161427129488,0.009014424582237446,0.00859703428764469,0.009945618160669412,0.010408607576656292,0.010534794887382626,0.0,0.014768571036375189,0.014353217732110846,0.014762632809583343,0.014917467051868583,0.011770548263821956,0.0,0.014768571036375189,0.014353217732110846,0.007080798077812478,0.007188656229199841,0.004553075134941409,0.0,0.0,0.008502650307410597,0.0,0.0,0.00850265030741082,0.04994731732783575,0.018951612734235956,0.04994731732783597,0.01896122617861895,0.04994731732783575,0.018525969524267438
2023-12-06 00:00:00+00:00,-0.0015042342352890037,-0.0015735381413988225,-0.0015924158401886546,-0.003878935138221906,0.0,-0.004233426776673821,-0.0014164650238186471,-0.0014169911314465544,-0.0013615236719456414,-0.0044384789685183446,-0.0044761228365959305,-0.004389433481495564,-0.0015042342352888927,-0.0015735381413988225,-0.0015924158401886546,0.0,-0.007628693011567322,-0.007556533882828287,-0.007158739020726945,-0.007205658557216887,-0.007966642982580874,0.0,-0.007628693011567322,-0.007556533882828287,-0.0002971319024068775,-0.0005728756322405104,-0.0002827328489837244,0.0,0.0,0.009414544574493533,0.0,0.0,0.009414544574493533,-0.007266517694811903,-0.008836528000307431,-0.007266517694811903,-0.008702518471592535,-0.007266517694812014,-0.008603357990571436
2023-12-07 00:00:00+00:00,-0.0022719308428321705,-0.0023767694563719965,-0.002405328980339405,0.030361064624429668,0.0,0.031675640850939546,-0.002139179954983139,-0.002139975622982404,-0.0020560930633715113,0.031213986346365186,0.03129479048159478,0.03242313962461418,-0.0022719308428322815,-0.0023767694563718855,-0.002405328980339405,0.0,0.03202891926172846,0.03296788210941526,0.029982128544799647,0.030056579765996183,0.031977634255062615,0.0,0.03202891926172846,0.03296788210941526,0.03185333136259372,0.03129094370087815,0.0297995538136544,0.0,0.0,0.02816393079684909,0.0,0.0,0.028163930796849312,-0.011038740701557637,0.035274479175840145,-0.011038740701557637,0.03516010198458108,-0.011038740701557637,0.03584745811232137
2023-12-08 00:00:00+00:00,0.004298358357433418,0.004497179345663849,0.004551348242779696,0.04349655799617147,0.0,0.045979868772467736,0.004046663132560413,0.004048171516846777,0.0038891647445371547,0.0460988092179524,0.046242785679023735,0.04757498173924657,0.004298358357433418,0.004497179345663849,0.004551348242779918,0.0,0.05027971602039538,0.05134717894365881,0.04694652209012151,0.04711439945946427,0.049721174977563676,0.0,0.05027971602039538,0.05134717894365881,0.08074350163943977,0.08060147183336053,0.07987820394477896,0.0,0.0,0.09010594638409941,0.0,0.0,0.09010594638409897,0.021069777812178447,0.04927474005760746,0.021069777812178447,0.049462844304646314,0.021069777812178447,0.04948217098459384
2023-12-09 00:00:00+00:00,-0.0022040919626865607,-0.002305586016060346,-0.0023332311675740014,-0.020771958812920266,0.0,-0.021884754610504764,-0.0020755490401144217,-0.0020763195769343268,-0.0019950804684047974,-0.021760736553848026,-0.021837989116994305,-0.022352172253333302,-0.0022040919626866717,-0.002305586016060235,-0.0023332311675741124,0.0,-0.024413656019226848,-0.024811506908710035,-0.02293893943843628,-0.023020170189022138,-0.02421720456625409,0.0,-0.024413656019226848,-0.024811506908710035,-0.017059650338013377,-0.017009394954628276,-0.016159047983387076,0.0,0.0,-0.013696771564675303,0.0,0.0,-0.013696771564675081,-0.010626601078409403,-0.01155131294719125,-0.010626601078409403,-0.011507845748276346,-0.010626601078409403,-0.011555003480762771
2023-12-10 00:00:00+00:00,0.0003312829589341426,0.00034657313344932383,0.00035073844059563264,0.010605571040817718,0.0,0.01115140277999549,0.0003119223108136726,0.0003120383512911218,0.0002998049775868594,0.011283438738468599,0.011305507635368972,0.011711043554536893,0.0003312829589341426,0.0003465731334491018,0.00035073844059563264,0.0,0.01694519721209553,0.01731101142800684,0.0161096146608235,0.016153410100053334,0.01652907982134999,0.0,0.01694519721209553,0.01731101142800684,0.05459216867147054,0.05463728451449357,0.05501511550296967,0.0,0.0,0.05700465202611782,0.0,0.0,0.05700465202611804,0.0016108134688066489,0.03430789901943454,0.0016108134688066489,0.03428156237460622,0.0016108134688066489,0.03444655406243635
2023-12-11 00:00:00+00:00,-0.012056671690053089,-0.012612947650224249,-0.012764483864954546,-0.04675599803157238,0.0,-0.06119581025616416,-0.01135228233330976,-0.011356504260670142,-0.010911409223178126,-0.04884411986911885,-0.051671405502861534,-0.06088313482928154,-0.012056671690053089,-0.012612947650224027,-0.012764483864954657,0.0,-0.05105718919583646,-0.06441765915034792,-0.04498721944853845,-0.04825043747262081,-0.06358701514636955,0.0,-0.05105718919583646,-0.06441765915034792,-0.001942091706063298,-0.007436977978725223,-0.025734156402867248,0.0,0.0,-0.0315891880212843,0.0,0.0,-0.03158918802128441,-0.05854885910478402,-0.04323185359793458,-0.05854885910478391,-0.04339145237406572,-0.05854885910478402,-0.043338437158184306
2023-12-12 00:00:00+00:00,0.0011793202978704898,0.0012344273528925864,0.0012494499357145195,-0.010685295449866183,0.0,-0.01003823608190435,0.0011096294809211926,0.001110046893801675,0.0010660609193466897,-0.011250949394452259,-0.011305089131024681,-0.009571802329652934,0.0011793202978704898,0.0012344273528925864,0.0012494499357145195,0.0,-0.011047733812520888,-0.009837794404434552,-0.010306815795245283,-0.010352854284288115,-0.010084674050002018,0.0,-0.011047733812520888,-0.009837794404434552,0.004155445306041283,0.00440112421253902,0.0006858476950222236,0.0,0.0,0.007509598076543167,0.0,0.0,0.007509598076543167,0.0060097585206360105,0.035431192005981105,0.0060097585206360105,0.03517462713546826,0.0060097585206360105,0.034872093782511326
